,F,P
T2_original_glcm_SumAverage,1.2786451114434314,0.25965549974453356
ADC_original_firstorder_10Percentile,46.43124778478385,1.3778708592785481e-10
ADC_original_firstorder_90Percentile,33.62268064890617,2.947905618001035e-08
ADC_original_firstorder_Energy,33.94619516918825,2.562838797872749e-08
ADC_original_firstorder_Entropy,48.38114695276558,6.270855297754024e-11
ADC_original_firstorder_InterquartileRange,2.5556712628098164,0.11165299734210227
ADC_original_firstorder_Kurtosis,3.583016317509492,0.059977873626282506
ADC_original_firstorder_Maximum,6.416682674621006,0.012159105872671145
ADC_original_firstorder_Mean,46.70106123352452,1.2351226348504216e-10
ADC_original_firstorder_MeanAbsoluteDeviation,5.3374877086235655,0.022005782419096266
ADC_original_firstorder_Median,46.35822826963595,1.4192981845052085e-10
ADC_original_firstorder_Minimum,50.22384154649741,3.00018583405615e-11
ADC_original_firstorder_Range,33.19983824716172,3.541054570996969e-08
ADC_original_firstorder_RobustMeanAbsoluteDeviation,3.1415462135327044,0.07801295567923149
ADC_original_firstorder_RootMeanSquared,46.85660543157159,1.1597273253325818e-10
ADC_original_firstorder_Skewness,3.1962599438891486,0.07548916451428088
ADC_original_firstorder_Uniformity,32.2686680954147,5.310313740914078e-08
ADC_original_firstorder_Variance,0.5448096762152549,0.46140746882779904
ADC_original_glcm_Autocorrelation,1.0580911459761415,0.30503120202793443
ADC_original_glcm_ClusterProminence,1.3130845492158862,0.25335807115522513
ADC_original_glcm_ClusterShade,1.6996512750904935,0.19399848390710775
ADC_original_glcm_ClusterTendency,0.12764801864601424,0.7213017642318988
ADC_original_glcm_Contrast,25.761455740186907,9.579296955322397e-07
ADC_original_glcm_Correlation,74.01434068640317,3.742250408896747e-15
ADC_original_glcm_DifferenceAverage,50.893337870517335,2.2988288354123646e-11
ADC_original_glcm_DifferenceEntropy,51.321229001098175,1.9399344992168805e-11
ADC_original_glcm_DifferenceVariance,12.164584577780767,0.0006121403677339354
ADC_original_glcm_Id,63.95625873592011,1.494124641960526e-13
ADC_original_glcm_Idm,58.7005407742313,1.0939319703421766e-12
ADC_original_glcm_Idmn,12.72804123305908,0.0004617157495467179
ADC_original_glcm_Idn,8.68839375507077,0.0036268831035082953
ADC_original_glcm_Imc1,2.049580551968246,0.15398218491202853
ADC_original_glcm_Imc2,5.018701224680933,0.02629810876161653
ADC_original_glcm_InverseVariance,69.59269107357365,1.856621781642951e-14
ADC_original_glcm_JointAverage,5.965724096021305,0.015552648897151635
ADC_original_glcm_JointEnergy,0.18683747209996243,0.6660792753233815
ADC_original_glcm_JointEntropy,24.272384656095277,1.886742947510199e-06
ADC_original_glcm_MaximumProbability,9.26755851682007,0.002682267688982539
ADC_original_glcm_SumEntropy,5.723450256513391,0.017769299227105545
ADC_original_glcm_SumSquares,0.29911772336584247,0.5851134386966836
ADC_original_glrlm_GrayLevelNonUniformity,28.43548437338846,2.879697969691897e-07
ADC_original_glrlm_GrayLevelNonUniformityNormalized,31.92517092584976,6.169769068034883e-08
ADC_original_glrlm_HighGrayLevelRunEmphasis,2.7426634228384765,0.0994440335443292
ADC_original_glrlm_LongRunEmphasis,51.59084205695007,1.7434606014620176e-11
ADC_original_glrlm_LongRunHighGrayLevelEmphasis,1.1262803969881727,0.28999198878721555
ADC_original_glrlm_LongRunLowGrayLevelEmphasis,18.630290946014853,2.6147809966621506e-05
ADC_original_glrlm_LowGrayLevelRunEmphasis,23.21915033044215,3.0591565655557855e-06
ADC_original_glrlm_RunEntropy,41.630539722140156,9.883210820888922e-10
ADC_original_glrlm_RunLengthNonUniformity,42.770334179201186,6.164481214172991e-10
ADC_original_glrlm_RunLengthNonUniformityNormalized,80.52820699174259,3.7245249663757255e-16
ADC_original_glrlm_RunPercentage,71.02189850567757,1.1027782201562232e-14
ADC_original_glrlm_RunVariance,43.69554221261592,4.2105963619362304e-10
ADC_original_glrlm_ShortRunEmphasis,70.4410441402565,1.362294506705685e-14
ADC_original_glrlm_ShortRunLowGrayLevelEmphasis,23.82115871466368,2.319853851884572e-06
ADC_original_glszm_GrayLevelNonUniformity,36.64608644237256,8.044239453475581e-09
ADC_original_glszm_GrayLevelNonUniformityNormalized,42.82755358694262,6.020545745865231e-10
ADC_original_glszm_GrayLevelVariance,0.8310797308039661,0.36317978255439487
ADC_original_glszm_HighGrayLevelZoneEmphasis,4.451375864999197,0.03625536072509344
ADC_original_glszm_LargeAreaEmphasis,6.556583298561033,0.011270358849041432
