,0
0,T2_original_glcm_SumAverage
1,ADC_original_firstorder_10Percentile
2,ADC_original_firstorder_90Percentile
3,ADC_original_firstorder_Energy
4,ADC_original_firstorder_Entropy
5,ADC_original_firstorder_InterquartileRange
6,ADC_original_firstorder_Kurtosis
7,ADC_original_firstorder_Maximum
8,ADC_original_firstorder_Mean
9,ADC_original_firstorder_MeanAbsoluteDeviation
10,ADC_original_firstorder_Median
11,ADC_original_firstorder_Minimum
12,ADC_original_firstorder_Range
13,ADC_original_firstorder_RobustMeanAbsoluteDeviation
14,ADC_original_firstorder_RootMeanSquared
15,ADC_original_firstorder_Skewness
16,ADC_original_firstorder_Uniformity
17,ADC_original_firstorder_Variance
18,ADC_original_glcm_Autocorrelation
19,ADC_original_glcm_ClusterProminence
20,ADC_original_glcm_ClusterShade
21,ADC_original_glcm_ClusterTendency
22,ADC_original_glcm_Contrast
23,ADC_original_glcm_Correlation
24,ADC_original_glcm_DifferenceAverage
25,ADC_original_glcm_DifferenceEntropy
26,ADC_original_glcm_DifferenceVariance
27,ADC_original_glcm_Id
28,ADC_original_glcm_Idm
29,ADC_original_glcm_Idmn
30,ADC_original_glcm_Idn
31,ADC_original_glcm_Imc1
32,ADC_original_glcm_Imc2
33,ADC_original_glcm_InverseVariance
34,ADC_original_glcm_JointAverage
35,ADC_original_glcm_JointEnergy
36,ADC_original_glcm_JointEntropy
37,ADC_original_glcm_MaximumProbability
38,ADC_original_glcm_SumEntropy
39,ADC_original_glcm_SumSquares
40,ADC_original_glrlm_GrayLevelNonUniformity
41,ADC_original_glrlm_GrayLevelNonUniformityNormalized
42,ADC_original_glrlm_HighGrayLevelRunEmphasis
43,ADC_original_glrlm_LongRunEmphasis
44,ADC_original_glrlm_LongRunHighGrayLevelEmphasis
45,ADC_original_glrlm_LongRunLowGrayLevelEmphasis
46,ADC_original_glrlm_LowGrayLevelRunEmphasis
47,ADC_original_glrlm_RunEntropy
48,ADC_original_glrlm_RunLengthNonUniformity
49,ADC_original_glrlm_RunLengthNonUniformityNormalized
50,ADC_original_glrlm_RunPercentage
51,ADC_original_glrlm_RunVariance
52,ADC_original_glrlm_ShortRunEmphasis
53,ADC_original_glrlm_ShortRunLowGrayLevelEmphasis
54,ADC_original_glszm_GrayLevelNonUniformity
55,ADC_original_glszm_GrayLevelNonUniformityNormalized
56,ADC_original_glszm_GrayLevelVariance
57,ADC_original_glszm_HighGrayLevelZoneEmphasis
58,ADC_original_glszm_LargeAreaEmphasis
59,ADC_original_glszm_LargeAreaHighGrayLevelEmphasis
60,ADC_original_glszm_LargeAreaLowGrayLevelEmphasis
61,ADC_original_glszm_LowGrayLevelZoneEmphasis
62,ADC_original_glszm_SizeZoneNonUniformity
63,ADC_original_glszm_SizeZoneNonUniformityNormalized
64,ADC_original_glszm_SmallAreaEmphasis
65,ADC_original_glszm_SmallAreaHighGrayLevelEmphasis
66,ADC_original_glszm_SmallAreaLowGrayLevelEmphasis
67,ADC_original_glszm_ZoneEntropy
68,ADC_original_glszm_ZonePercentage
69,ADC_original_glszm_ZoneVariance
70,ADC_original_shape_Elongation
71,ADC_original_shape_Flatness
72,ADC_original_shape_LeastAxis
73,ADC_original_shape_MajorAxis
74,ADC_original_shape_Maximum2DDiameterColumn
75,ADC_original_shape_Maximum2DDiameterRow
76,ADC_original_shape_Maximum2DDiameterSlice
77,ADC_original_shape_Maximum3DDiameter
78,ADC_original_shape_MinorAxis
79,ADC_original_shape_Sphericity
80,ADC_original_shape_SurfaceArea
81,ADC_original_shape_SurfaceVolumeRatio
82,ADC_original_shape_Volume
83,DWI_original_firstorder_10Percentile
84,DWI_original_firstorder_90Percentile
85,DWI_original_firstorder_Energy
86,DWI_original_firstorder_Entropy
87,DWI_original_firstorder_InterquartileRange
88,DWI_original_firstorder_Kurtosis
89,DWI_original_firstorder_Maximum
90,DWI_original_firstorder_Mean
91,DWI_original_firstorder_MeanAbsoluteDeviation
92,DWI_original_firstorder_Median
93,DWI_original_firstorder_Minimum
94,DWI_original_firstorder_Range
95,DWI_original_firstorder_RobustMeanAbsoluteDeviation
96,DWI_original_firstorder_RootMeanSquared
97,DWI_original_firstorder_Skewness
98,DWI_original_firstorder_Uniformity
99,DWI_original_firstorder_Variance
100,DWI_original_glcm_Autocorrelation
101,DWI_original_glcm_ClusterProminence
102,DWI_original_glcm_ClusterShade
103,DWI_original_glcm_ClusterTendency
104,DWI_original_glcm_Contrast
105,DWI_original_glcm_Correlation
106,DWI_original_glcm_DifferenceEntropy
107,DWI_original_glcm_DifferenceVariance
108,DWI_original_glcm_Idmn
109,DWI_original_glcm_Idn
110,DWI_original_glcm_Imc1
111,DWI_original_glcm_Imc2
112,DWI_original_glcm_JointAverage
113,DWI_original_glcm_JointEnergy
114,DWI_original_glcm_JointEntropy
115,DWI_original_glcm_MaximumProbability
116,DWI_original_glcm_SumEntropy
117,DWI_original_glcm_SumSquares
118,DWI_original_glrlm_GrayLevelNonUniformity
119,DWI_original_glrlm_GrayLevelNonUniformityNormalized
120,DWI_original_glrlm_GrayLevelVariance
121,DWI_original_glrlm_HighGrayLevelRunEmphasis
